1801	121	125	137
2008	123	69	41
2009	167	85	52
1802	148	153	162
1509	141	149	120
1302	0	144	87
1303	0	111	73
1510	140	156	123
1803	181	169	166
2010	205	123	58
2011	206	139	77
1804	226	221	218
1511	179	199	190
1304	0	138	86
1305	14	131	71
1512	137	164	140
1805	203	211	201
2012	228	179	101
2013	239	193	137
1806	203	186	187
1513	119	144	121
1306	38	164	86
1307	76	184	87
1514	0	83	53
1807	181	169	166
2014	255	228	184
2101	255	253	232
2308	255	229	202
2610	223	165	173
2611	214	180	182
2309	226	182	159
2102	206	174	135
2103	185	135	80
2310	203	124	110
2612	180	154	172
2613	142	115	142
2311	141	83	64
2104	167	116	54
2105	130	97	58
2312	204	141	123
2614	90	38	75
2701	0	20	63
2313	250	180	147
2106	112	81	58
2107	129	105	81
2314	255	228	202
2702	69	106	165
2703	213	213	63
2400	0	20	35
2108	165	139	99
2109	206	183	138
2401	255	255	255
2704	0	101	46
2705	0	123	126
2402	255	254	242
2110	184	167	121
2111	155	136	86
2403	255	253	232
2706	0	168	142
2707	243	134	167
2404	255	234	205
2112	129	111	70
2113	118	88	51
2501	113	43	47
2708	237	20	90
2709	61	38	128
2502	167	28	32
2114	111	95	60
2201	138	118	59
2503	250	190	175
2710	90	64	132
2711	154	149	201
2504	239	248	241
2202	167	130	55
2203	208	164	82
2505	0	88	131
2712	249	203	223
2713	219	147	192
2506	0	112	147
2204	208	173	104
2205	242	232	188
2507	0	90	108
2714	126	63	152
2508	60	124	135
2206	218	195	141
2207	242	220	146
2509	253	184	19
2510	232	195	30
2208	219	185	105
2209	218	167	80
2511	255	242	190
2512	255	233	186
2210	187	134	50
2211	206	131	45
2513	252	175	23
2514	235	145	35
2212	196	129	47
2213	177	111	51
2601	164	117	106
2602	104	41	0
2214	167	101	53
2301	250	167	75
2603	76	95	57
2604	158	200	152
2302	223	117	39
2303	149	66	53
2605	251	190	167
2606	109	3	4
2304	133	49	53
2305	167	66	50
2607	85	0	42
2608	93	0	71
2306	185	87	48
2307	250	168	94
2609	134	0	94
1011x1012	0	118	176
911x912	6	109	174
2400x1713	32	37	46
